case,unit_id,replay_index,kind,opportunity_score
stagehand,u03,4,delete,463.0
stagehand,u04,1,delete,500.0
stagehand,u04,0,delete,500.0
stagehand,u04,3,delete,463.0
stagehand,u04,4,delete,463.0
stagehand,u05,0,delete,463.0
stagehand,u05,1,delete,500.0
stagehand,u05,2,delete,463.0
stagehand,u05,3,delete,500.0
stagehand,u05,4,delete,500.0
stagehand,u06,0,delete,500.0
stagehand,u06,2,delete,463.0
stagehand,u04,2,delete,553.0
stagehand,u06,1,delete,500.0
stagehand,u07,0,delete,463.0
stagehand,u06,3,delete,500.0
stagehand,u06,4,delete,500.0
stagehand,u07,1,delete,463.0
stagehand,u07,2,delete,463.0
stagehand,u07,3,delete,440.0
stagehand,u07,4,delete,500.0
stagehand,u08,0,delete,463.0
stagehand,u08,1,delete,500.0
stagehand,u08,2,delete,500.0
stagehand,u08,3,delete,500.0
stagehand,u08,4,delete,500.0
stagehand,u09,0,delete,500.0
stagehand,u09,1,delete,500.0
stagehand,u09,2,delete,500.0
stagehand,u09,3,delete,500.0
stagehand,u09,4,delete,500.0
stagehand,u10,0,delete,463.0
stagehand,u10,1,delete,500.0
stagehand,u10,2,delete,500.0
stagehand,u10,3,delete,500.0
stagehand,u10,4,delete,463.0
stagehand,u11,0,delete,500.0
stagehand,u11,1,delete,500.0
stagehand,u11,2,delete,500.0
stagehand,u11,3,delete,500.0
stagehand,u11,4,delete,463.0
stagehand,u12,0,delete,500.0
stagehand,u12,1,delete,463.0
stagehand,u12,2,delete,500.0
stagehand,u12,3,delete,553.0
stagehand,u12,4,delete,463.0
readyrounds,u01,0,delete,500.0
readyrounds,u01,1,delete,515.0
readyrounds,u01,2,delete,515.0
readyrounds,u01,3,delete,553.0
readyrounds,u01,4,delete,515.0
readyrounds,u02,0,delete,553.0
readyrounds,u02,1,delete,553.0
readyrounds,u02,2,delete,553.0
readyrounds,u02,3,delete,515.0
readyrounds,u02,4,delete,515.0
readyrounds,u03,0,delete,515.0
readyrounds,u03,1,delete,553.0
readyrounds,u03,2,delete,553.0
readyrounds,u03,3,delete,553.0
readyrounds,u03,4,delete,515.0
readyrounds,u04,0,delete,463.0
readyrounds,u04,1,delete,553.0
readyrounds,u04,2,delete,553.0
readyrounds,u04,4,delete,500.0
readyrounds,u04,3,delete,515.0
readyrounds,u05,0,delete,500.0
readyrounds,u05,1,delete,553.0
readyrounds,u05,2,delete,463.0
readyrounds,u05,3,delete,553.0
readyrounds,u05,4,delete,553.0
readyrounds,u06,0,delete,553.0
readyrounds,u06,1,delete,553.0
readyrounds,u06,2,delete,515.0
readyrounds,u06,3,delete,463.0
readyrounds,u06,4,delete,463.0
readyrounds,u07,0,delete,500.0
readyrounds,u07,1,delete,500.0
readyrounds,u07,2,delete,515.0
readyrounds,u07,3,delete,463.0
readyrounds,u07,4,delete,553.0
readyrounds,u08,0,delete,553.0
readyrounds,u08,1,delete,463.0
readyrounds,u08,2,delete,553.0
readyrounds,u08,3,delete,553.0
readyrounds,u08,4,delete,463.0
readyrounds,u09,0,delete,515.0
readyrounds,u09,1,delete,553.0
readyrounds,u09,2,delete,463.0
readyrounds,u09,3,delete,463.0
readyrounds,u09,4,delete,500.0
readyrounds,u10,0,delete,500.0
readyrounds,u10,2,delete,463.0
readyrounds,u10,3,delete,463.0
readyrounds,u10,1,delete,553.0
readyrounds,u10,4,delete,463.0
narma,u01,1,delete,463.0
narma,u01,0,delete,500.0
narma,u01,2,delete,463.0
narma,u01,3,delete,463.0
narma,u01,4,delete,463.0
narma,u02,0,delete,515.0
narma,u02,2,delete,515.0
narma,u02,1,delete,515.0
narma,u02,3,delete,463.0
narma,u03,0,delete,402.0
narma,u02,4,delete,463.0
narma,u03,1,delete,463.0
narma,u03,2,delete,515.0
narma,u03,3,delete,515.0
narma,u03,4,delete,463.0
narma,u04,0,delete,463.0
narma,u04,1,delete,463.0
narma,u04,2,delete,463.0
narma,u04,3,delete,515.0
narma,u04,4,delete,515.0
narma,u05,1,delete,463.0
narma,u05,0,delete,553.0
narma,u05,2,delete,463.0
narma,u05,3,delete,402.0
narma,u05,4,delete,463.0
narma,u06,1,delete,463.0
narma,u06,2,delete,402.0
narma,u06,3,delete,463.0
narma,u06,4,delete,463.0
narma,u07,1,delete,500.0
narma,u07,0,delete,515.0
narma,u07,2,delete,553.0
narma,u07,3,delete,515.0
narma,u08,0,delete,463.0
narma,u07,4,delete,463.0
narma,u06,0,delete,553.0
narma,u08,1,delete,463.0
narma,u08,2,delete,553.0
narma,u08,3,delete,515.0
narma,u09,0,delete,463.0
narma,u09,1,delete,463.0
narma,u08,4,delete,463.0
narma,u09,2,delete,463.0
narma,u09,3,delete,463.0
narma,u09,4,delete,463.0
narma,u10,1,delete,515.0
narma,u10,0,delete,463.0
narma,u10,2,delete,463.0
narma,u10,4,delete,463.0
narma,u10,3,delete,515.0
narma,u11,0,delete,402.0
narma,u11,1,delete,515.0
narma,u11,2,delete,463.0
narma,u11,3,delete,463.0
narma,u11,4,delete,553.0
